Title,Artist,Path,Emotion1,Emotion2,Uri,Energy, Valence,Tempo
needy,Ariana Grande,02 needy.mp3,Neutral,Happy,spotify:track:1TEL6MlSSVLSdhOSddidlJ,0.309,0.195,87.045
you broke me first,Tate McRae,01 you broke me first.mp3,Neutral,Surprise,spotify:track:45bE4HXI0AwGZXfZtMp8JR,0.373,0.0823,124.148
Teenage Mind,Tate McRae,01 Teenage Mind.mp3,Neutral,Surprise,spotify:track:70vdb3Nf9sUaOax5c6phOT,0.337,0.12,119.716
July,Noah Cyrus,06 July.mp3,Neutral,Surprise,spotify:track:6J2LdBN97cDWn0MLxYh9HB,0.186,0.322,72.541
Let Me Down Slowly,Alec Benjamin,04 Let Me Down Slowly.mp3,Sad,Sad,spotify:track:2qxmye6gAegTMjLKEBoR3d,0.557,0.483,150.073
comethru,Jeremy Zucker,01 comethru.mp3,Neutral,Surprise,spotify:track:18uwL0vNUanqZH0ro2QcOP,0.178,0.608,93.982
F.O.O.L. - Unplugged,LNY TNZ,03 F_O_O_L_ - Unplugged.mp3,Neutral,N/A,spotify:track:2pZi7ZUXvBCYc71aJLonuS,0.356,0.339,77.566
Bored,Billie Eilish,01 Bored.mp3,Neutral,Sad,spotify:track:04sN26COy28wTXYj3dMoiZ,0.318,0.112,119.959
Is It OK If I Call You Mine?,Paul McCrane,06 Is It OK If I Call You Mine_.mp3,Neutral,Surprise,spotify:track:0cQdOLlHS3CgHvZgcOVvaw,0.11,0.338,143.883
I Love You So,The Walters,01 I Love You So.mp3,Happy,Sad,spotify:track:1175r6ZmkUjX8dRJLz9Ohk,0.669,0.503,75.995
Godspeed,Paravi Das,01 Godspeed.mp3,Neutral,N/A,spotify:track:22BWwTuW2IuuSjT01SYvOP,0.0271,0.37,99.581
July,Noah Cyrus,01 July.mp3,Neutral,Surprise,spotify:track:6J2LdBN97cDWn0MLxYh9HB,0.186,0.322,72.541
bitches broken hearts,Billie Eilish,01 bitches broken hearts.mp3,Neutral,Sad,spotify:track:5t3Vk8bRKylx4fjj7qlbib,0.422,0.187,120.033
i was all over her,salvia palth,05 i was all over her.mp3,Neutral,Sad,spotify:track:7svpAkwc6xaSxlbZ7V7JiS,0.353,0.0601,104.557
COPYCAT,Billie Eilish,01 COPYCAT.mp3,Neutral,Sad,spotify:track:5w7wuzMzsDer96KqxafeRK,0.388,0.234,124.909
